cstreet 0.000446229361892 -1 -1 -1 0.00519031141869
aftertax 0.00178491744757 0.0238095238095 0.00746268656716 -1 0.043795620438
pstreet 0.000892458723784 -1 -1 -1 0.0838150289017
czip 0.00178491744757 0.0175438596491 0.0243902439024 -1 0.0617647058824
ccity 0.00490852298081 0.0177619893428 0.0208333333333 0.0408602150538 0.0550264550265
pzip 0.00267737617135 0.0740740740741 0.0236220472441 0.0754716981132 0.0621761658031
traveller 0.00223114680946 0.0531914893617 0.0401337792642 0.0504201680672 0.0532258064516
vatpercent 0.000892458723784 -1 -1 -1 0.0
voucherdate 0.00267737617135 0.0714285714286 0.0676691729323 0.088 0.0577319587629
pcity 0.00178491744757 0.0285714285714 0.00662251655629 -1 0.032044198895
commission 0.00133868808568 -1 -1 -1 0.0376884422111
tripdate 0.0053547523427 0.134920634921 0.0833333333333 0.12962962963 0.111111111111
cname 0.00133868808568 0.0 -1 -1 0.0138036809816
currency 0.00758589915216 0.0268456375839 0.0393700787402 0.0652920962199 0.05
pretax 0.000446229361892 -1 -1 -1 0.03003003003
duedate 0.00401606425703 -1 -1 -1 0.0656934306569
